;Building Code;Address;Location Name;RangeA;lon;lat;valid_coordinates;in_brooklyn
129;K160;5105 Fort Hamilton Parkway;P.S. 160 William T. Sampson;1500;-73.9990054201757;40.63693025;True;True
130;K161;330 CROWN STREET;SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS);1000;-73.9492320286737;40.6658716;True;True
131;K162;1390 WILLOUGHBY AVENUE;J.H.S. 162 The Willoughby;500;-73.91977342485697;40.7067391;True;True
132;K163;1664 BENSON AVENUE;P.S. 748 Brooklyn School for Global Scholars;750;-74.00727734863412;40.6069325;True;True
133;K164;4211 14 AVENUE;P.S. 164 Caesar Rodney;750;-73.985777;40.586668;True;True
134;K165;76 LOTT AVENUE;P.S. 165 Ida Posner;500;-73.91097613948526;40.657184900000004;True;True
135;K166;800 VAN SICLEN AVE;Van Siclen Community Middle School;500;-73.8854448;40.6598768;True;True
136;K166 ;800 VAN SICLEN AVE;ACHIEVEMENT FIRST BROOKLYN ACADEMY CHARTER SCHOOL @ JHS 166;750;-73.8854448;40.6598768;True;True
137;K167;1025 EASTERN PARKWAY;P.S. 167 The Parkway;500;-73.93432098654321;40.669508949999994;True;True
138;K169;4305 7 AVENUE;P.S. 169 Sunset Park;1750;-73.972367;40.67705;True;True
139;K170;7109 6 AVENUE;Ralph A. Fabrizio School;1250;-73.90058187755102;40.61391197959183;True;True
140;K171;528 RIDGEWOOD AVENUE;I.S. 171 Abraham Lincoln;1000;-73.8694440552785;40.68587144999999;True;True
141;K172;825 4 AVENUE;P.S. 172 Beacon School of Excellence;750;-73.9619632;40.58937542727273;True;True
142;K174;574 DUMONT AVENUE;School of the Future Brooklyn;500;-73.89771030043299;40.6655431;True;True
143;K175;226 BRISTOL STREET;Teachers Preparatory High School;1000;-73.91208655530184;40.66552085;True;True
145;K177;346 AVENUE P;P.S. 177 The Marlboro;1000;-73.97469052486619;40.60823135;True;True
146;K178;2163 DEAN STREET;P.S. 178 Saint Clair Mckelway;500;-73.9153616552255;40.6752327;True;True
